Epoch,loss,accuracy,val_loss,val_accuracy
0,0.4174278676509857,0.8393405079841614,0.6134718656539917,0.7211538553237915
1,0.3123835623264313,0.8659892678260803,0.623724639415741,0.75
2,0.24503108859062195,0.9014570713043213,0.35428935289382935,0.8637820482254028
3,0.21631847321987152,0.9154524803161621,0.4822717308998108,0.7403846383094788
4,0.30376216769218445,0.8696318864822388,0.4181375801563263,0.8269230723381042
5,0.2096194624900818,0.9123849868774414,0.2930905222892761,0.9038461446762085
6,0.8941060900688171,0.796012282371521,0.430319219827652,0.8157051205635071
7,0.30449703335762024,0.8715490698814392,0.3977823257446289,0.8509615659713745
8,0.2370753437280655,0.9006901979446411,0.3215016722679138,0.8669871687889099
9,0.23010894656181335,0.9095091819763184,0.38878533244132996,0.8814102411270142
