Epoch,loss,accuracy,val_loss,val_accuracy
0,0.4689441919326782,0.7814416885375977,0.4289209842681885,0.8012820482254028
1,0.4300108253955841,0.8055981397628784,0.5813412070274353,0.6282051205635071
2,0.2597120702266693,0.8895705342292786,0.3064679205417633,0.8782051205635071
3,0.30550217628479004,0.869056761264801,0.4537968635559082,0.7772436141967773
4,0.34058353304862976,0.863113522529602,0.30011186003685,0.8846153616905212
5,0.20057272911071777,0.9225460290908813,0.4487689435482025,0.8862179517745972
6,0.6166971325874329,0.782975435256958,0.5734469294548035,0.625
7,0.403894305229187,0.8103911280632019,0.5121477842330933,0.754807710647583
8,0.3195304572582245,0.8610045909881592,0.6073225736618042,0.7868589758872986
9,0.3706400394439697,0.8295629024505615,0.5283570885658264,0.7580128312110901
